dt = 0.000010000000; N = 10; L(σ) = 8.000000 
Temps; Energie(ε); E_cin(ε); E_pot(ε); Temperature(ε/kb); Pression (ε/σ²)
0.221000; 99.777577; 94.600063; 5.177514; 9.460006; 2.615498
0.222000; 99.777577; 94.278358; 5.499219; 9.427836; 2.647815
0.223000; 99.777577; 93.973332; 5.804245; 9.397333; 2.678321
0.224000; 99.777577; 93.688446; 6.089131; 9.368845; 2.706700
0.225000; 99.777577; 93.427192; 6.350385; 9.342719; 2.732635
0.226000; 99.777577; 93.193013; 6.584564; 9.319301; 2.755814
0.227000; 99.761260; 92.989233; 6.772027; 9.298923; 2.775177
0.228000; 99.761260; 92.819130; 6.942129; 9.281913; 2.791964
0.229000; 99.761260; 92.685330; 7.075930; 9.268533; 2.805171
0.230000; 99.761260; 92.590245; 7.171015; 9.259025; 2.814583
0.231000; 99.761260; 92.535816; 7.225444; 9.253582; 2.820029
0.232000; 99.761260; 92.523439; 7.237821; 9.252344; 2.821390
0.233000; 99.761260; 92.553907; 7.207353; 9.255391; 2.818596
0.234000; 99.761260; 92.627372; 7.133888; 9.262737; 2.811639
0.235000; 99.761260; 92.743324; 7.017936; 9.274332; 2.800567
0.236000; 99.761260; 92.900597; 6.860663; 9.290060; 2.785488
0.237000; 99.761260; 93.097394; 6.663866; 9.309739; 2.766565
0.238000; 99.761260; 93.331335; 6.429924; 9.333134; 2.744015
0.239000; 99.761260; 93.599527; 6.161732; 9.359953; 2.718098
0.240000; 99.761260; 93.898643; 5.862617; 9.389864; 2.689116
0.241000; 99.761260; 94.225018; 5.536241; 9.422502; 2.657401
0.242000; 99.761260; 94.574750; 5.186509; 9.457475; 2.623306
0.243000; 99.761260; 94.943801; 4.817459; 9.494380; 2.587198
0.244000; 99.761260; 95.328092; 4.433168; 9.532809; 2.549449
0.245000; 99.761260; 95.723602; 4.037657; 9.572360; 2.510427
0.246000; 99.761260; 96.126443; 3.634817; 9.612644; 2.470491
0.247000; 99.761260; 96.532929; 3.228330; 9.653293; 2.429981
0.248000; 99.777577; 96.939678; 2.837899; 9.693968; 2.389977
0.249000; 99.777577; 97.343874; 2.433703; 9.734387; 2.349241
0.250000; 99.777577; 97.742351; 2.035226; 9.774235; 2.308812
0.251000; 99.777577; 98.132658; 1.644919; 9.813266; 2.268927
0.252000; 99.777577; 98.512687; 1.264890; 9.851269; 2.229791
0.253000; 99.777577; 98.880671; 0.896906; 9.888067; 2.191583
0.254000; 99.793894; 99.235186; 0.558708; 9.923519; 2.155211
0.255000; 99.793894; 99.575121; 0.218773; 9.957512; 2.119272
0.256000; 99.793894; 99.899596; -0.105702; 9.989960; 2.084623
0.257000; 99.793894; 100.208021; -0.414127; 10.020802; 2.051335
0.258000; 99.793894; 100.500035; -0.706141; 10.050004; 2.019460
0.259000; 99.793894; 100.775483; -0.981588; 10.077548; 1.989029
0.260000; 99.793894; 101.034380; -1.240486; 10.103438; 1.960058
0.261000; 99.793894; 101.276892; -1.482998; 10.127689; 1.932547
0.262000; 99.793894; 101.503309; -1.709415; 10.150331; 1.906486
0.263000; 99.793894; 101.714020; -1.920126; 10.171402; 1.881855
0.264000; 99.793894; 101.909497; -2.115603; 10.190950; 1.858623
0.265000; 99.793894; 102.090272; -2.296378; 10.209027; 1.836754
0.266000; 99.793894; 102.256926; -2.463032; 10.225693; 1.816208
0.267000; 99.793894; 102.410070; -2.616176; 10.241007; 1.796938
0.268000; 99.793894; 102.550338; -2.756444; 10.255034; 1.778898
0.269000; 99.793894; 102.678372; -2.884478; 10.267837; 1.762035
0.270000; 99.793894; 102.794819; -3.000925; 10.279482; 1.746299
0.271000; 99.793894; 102.900320; -3.106426; 10.290032; 1.731638
0.272000; 99.793894; 102.995506; -3.201611; 10.299551; 1.718000
0.273000; 99.793894; 103.080993; -3.287099; 10.308099; 1.705332
0.274000; 99.793894; 103.157382; -3.363488; 10.315738; 1.693585
0.275000; 99.793894; 103.225250; -3.431356; 10.322525; 1.682708
0.276000; 99.793894; 103.285155; -3.491261; 10.328515; 1.672652
0.277000; 99.793894; 103.337630; -3.543736; 10.333763; 1.663372
0.278000; 99.793894; 103.383186; -3.589291; 10.338319; 1.654820
0.279000; 99.793894; 103.422308; -3.628414; 10.342231; 1.646954
0.280000; 99.793894; 103.455459; -3.661565; 10.345546; 1.639731
0.281000; 99.793894; 103.483077; -3.689183; 10.348308; 1.633110
0.282000; 99.793894; 103.505579; -3.711685; 10.350558; 1.627054
0.283000; 99.793894; 103.523359; -3.729464; 10.352336; 1.621523
0.284000; 99.793894; 103.536787; -3.742893; 10.353679; 1.616484
0.285000; 99.793894; 103.546217; -3.752323; 10.354622; 1.611902
0.286000; 99.793894; 103.551980; -3.758086; 10.355198; 1.607744
0.287000; 99.793894; 103.554391; -3.760497; 10.355439; 1.603980
0.288000; 99.793894; 103.553744; -3.759850; 10.355374; 1.600580
0.289000; 99.793894; 103.550321; -3.756426; 10.355032; 1.597516
0.290000; 99.793894; 103.544383; -3.750489; 10.354438; 1.594761
0.291000; 99.793894; 103.536180; -3.742286; 10.353618; 1.592290
0.292000; 99.793894; 103.525946; -3.732052; 10.352595; 1.590077
0.293000; 99.793894; 103.513902; -3.720008; 10.351390; 1.588101
0.294000; 99.793894; 103.500257; -3.706363; 10.350026; 1.586338
0.295000; 99.793894; 103.485207; -3.691313; 10.348521; 1.584768
0.296000; 99.793894; 103.468937; -3.675043; 10.346894; 1.583370
0.297000; 99.793894; 103.451621; -3.657726; 10.345162; 1.582127
0.298000; 99.793894; 103.433422; -3.639528; 10.343342; 1.581019
0.299000; 99.793894; 103.414495; -3.620601; 10.341449; 1.580030
