r h_AllPart g_AllPart h_OO g_OO h_SiO g_SiO h_SiSi g_SiSi
3.0565130260521043 516.0 0.897682852793534 300.0 0.5219086353450778 96.0 0.16701076331042491 120.0 0.20876345413803113
3.081362725450902 528.0 0.9037440510543994 270.0 0.46214184428918154 102.0 0.17458691895369077 156.0 0.26701528781152706
3.106212424849699 486.0 0.8185459208286308 252.0 0.4244312182074381 90.0 0.1515825779312279 144.0 0.24253212468996463
3.131062124248497 498.0 0.8254436109000048 156.0 0.2585726973903629 144.0 0.23868248989879656 198.0 0.3281884236108453
3.1559118236472945 594.0 0.9690606289105402 264.0 0.430693612849129 150.0 0.2447122800279142 180.0 0.293654736033497
3.180761523046092 630.0 1.0117326620324427 288.0 0.4625063597862595 108.0 0.1734398849198473 234.0 0.37578641732633583
3.20561122244489 516.0 0.8158100884169855 198.0 0.3130434060204712 144.0 0.22766793165125176 174.0 0.2750987507452626
3.2304609218436875 498.0 0.7752387362333458 204.0 0.3175676750835392 114.0 0.17746428901727193 180.0 0.2802067721325346
3.255310621242485 534.0 0.818589039971588 240.0 0.3679051865040845 150.0 0.2299407415650528 144.0 0.2207431119024507
3.2801603206412824 618.0 0.933002255343913 252.0 0.38044752159654704 204.0 0.3079813270067286 162.0 0.24457340674063738
3.30501002004008 564.0 0.8386738522973262 198.0 0.2944280545299124 222.0 0.33011630356384114 144.0 0.21412949420357263
3.3298597194388777 534.0 0.7822120680267886 204.0 0.29882258778551474 204.0 0.29882258778551474 126.0 0.18456689245575908
3.3547094188376754 450.0 0.6494022089495305 174.0 0.2511021874604851 174.0 0.2511021874604851 102.0 0.14719783402856024
3.379559118236473 510.0 0.7251659964928069 168.0 0.23887821060939518 234.0 0.332723221920229 108.0 0.1535645639631826
3.4044088176352707 474.0 0.6641388924319359 162.0 0.22698417842610466 186.0 0.2606114641188609 126.0 0.1765432498869703
3.429258517034068 594.0 0.8202135723850597 252.0 0.3479693943451768 282.0 0.3893943222434122 60.0 0.08284985579647067
3.4541082164328656 540.0 0.734920130298372 210.0 0.2858022728938113 234.0 0.3184653897959612 96.0 0.13065246760859944
3.4789579158316633 564.0 0.7566179600666016 162.0 0.2173264353382792 336.0 0.4507511251460605 66.0 0.0885403995822619
3.503807615230461 552.0 0.7300160573523596 222.0 0.2935934143699708 276.0 0.3650080286761798 54.0 0.0714146143062091
3.5286573146292586 486.0 0.6336791227204986 180.0 0.23469597137796244 270.0 0.3520439570669437 36.0 0.04693919427559249
3.5535070140280562 756.0 0.9719369693132187 222.0 0.28541006241737377 480.0 0.6171028376591865 54.0 0.06942406923665848
3.578356713426854 474.0 0.6009254523571608 138.0 0.17495297980018604 294.0 0.3727259134873529 42.0 0.053246559069621835
3.603206412825651 726.0 0.9077097707273527 246.0 0.30757107933736744 438.0 0.5476265558933616 42.0 0.0525121354966237
3.628056112224449 522.0 0.6437105453701621 150.0 0.18497429464659831 336.0 0.41434242000838023 36.0 0.044393830715183595
3.6529058116232465 666.0 0.8101120843836808 222.0 0.2700373614612269 402.0 0.48898657345681634 42.0 0.05108814946563752
3.677755511022044 828.0 0.9935562272854799 330.0 0.39598255435290863 462.0 0.5543755760940721 36.0 0.043198096838499116
3.702605210420842 648.0 0.7671287767875847 174.0 0.20598828265592553 432.0 0.5114191845250565 42.0 0.04972130960660272
3.7274549098196395 750.0 0.8760422981983881 228.0 0.26631685865231 486.0 0.5676754092325556 36.0 0.04205003031352263
3.7523046092184367 858.0 0.9889185131073329 246.0 0.28353607718461993 582.0 0.6708048655343447 30.0 0.034577570388368284
3.7771543086172343 846.0 0.9622575727953893 330.0 0.3753486986081305 468.0 0.5323126998442579 48.0 0.054596174343000806
3.802004008016032 804.0 0.9025320272660959 204.0 0.22900066363468102 570.0 0.6398547954498441 30.0 0.03367656818157074
3.8268537074148297 834.0 0.9240502142655357 198.0 0.2193788278472135 570.0 0.6315451104692509 66.0 0.07312627594907116
3.8517034068136273 864.0 0.9449374814099567 282.0 0.3084170946268609 552.0 0.6037100575674723 30.0 0.0328103292156235
