#  Steps           Epot           Temp           Ekin           Etot            RgA       Coord0A       Coord1A       Coord2A           RgB       Coord0B       Coord1B       Coord2B
     700  -11289.814469       0.078523     235.568631  -11054.245838       0.148742     -0.000000     -0.000000      0.000000      0.148742    -19.158800     -0.000000      0.000000
     710  -11279.192900       0.074982     224.947296  -11054.245604       0.148611     -0.000000     -0.000000      0.000000      0.148611    -19.146800     -0.000000      0.000000
     720  -11269.332699       0.071696     215.087321  -11054.245378       0.148496     -0.000000     -0.000000      0.000000      0.148496    -19.134800     -0.000000      0.000000
     730  -11260.919594       0.068786     206.358846  -11054.560748       0.148399     -0.000000     -0.000000      0.000000      0.148399    -19.122800     -0.000000      0.000000
     740  -11253.654920       0.066365     199.094347  -11054.560573       0.148320     -0.000000     -0.000000      0.000000      0.148320    -19.110800     -0.000000      0.000000
     750  -11251.621828       0.064525     193.575089  -11058.046740       0.148259     -0.000000     -0.000000      0.000000      0.148259    -19.098800     -0.000000      0.000000
     760  -11248.040350       0.063331     189.993683  -11058.046668       0.148218     -0.000000     -0.000000      0.000000      0.148218    -19.086800     -0.000000      0.000000
     770  -11246.512492       0.062822     188.465834  -11058.046658       0.148197     -0.000000     -0.000000      0.000000      0.148197    -19.074800     -0.000000      0.000000
     780  -11247.056227       0.063003     189.009524  -11058.046702       0.148196     -0.000000     -0.000000      0.000000      0.148196    -19.062800     -0.000000      0.000000
     790  -11249.918036       0.063852     191.555944  -11058.362093       0.148215     -0.000000     -0.000000      0.000000      0.148215    -19.050800     -0.000000      0.000000
     800  -11254.331824       0.065323     195.969617  -11058.362207       0.148254     -0.000000     -0.000000      0.000000      0.148254    -19.038800     -0.000000      0.000000
     810  -11260.115587       0.067356     202.068390  -11058.047197       0.148313     -0.000000     -0.000000      0.000000      0.148313    -19.026800     -0.000000      0.000000
     820  -11267.682527       0.069878     209.635179  -11058.047349       0.148390     -0.000000     -0.000000      0.000000      0.148390    -19.014800     -0.000000      0.000000
     830  -11275.695218       0.072811     218.432304  -11057.262914       0.148486     -0.000000     -0.000000      0.000000      0.148486    -19.002800     -0.000000      0.000000
     840  -11285.449103       0.076062     228.186007  -11057.263096       0.148599     -0.000000     -0.000000      0.000000      0.148599    -18.990800     -0.000000      0.000000
     850  -11293.231982       0.079542     238.625929  -11054.606053       0.148729     -0.000000     -0.000000      0.000000      0.148729    -18.978800     -0.000000      0.000000
     860  -11304.009097       0.083134     249.402817  -11054.606280       0.148875     -0.000000     -0.000000      0.000000      0.148875    -18.966800     -0.000000      0.000000
     870  -11314.447032       0.086717     260.149535  -11054.297497       0.149034     -0.000000     -0.000000      0.000000      0.149034    -18.954800     -0.000000      0.000000
     880  -11324.776368       0.090160     270.478651  -11054.297716       0.149206     -0.000000     -0.000000      0.000000      0.149206    -18.942800     -0.000000      0.000000
     890  -11334.324085       0.093342     280.026180  -11054.297905       0.149389     -0.000000     -0.000000      0.000000      0.149389    -18.930800     -0.000000      0.000000
     900  -11342.773038       0.096158     288.474987  -11054.298051       0.149581     -0.000000     -0.000000      0.000000      0.149581    -18.918800     -0.000000      0.000000
     910  -11349.869872       0.098524     295.571720  -11054.298151       0.149782     -0.000000     -0.000000      0.000000      0.149782    -18.906800     -0.000000      0.000000
     920  -11355.433942       0.100379     301.135738  -11054.298204       0.149988     -0.000000     -0.000000      0.000000      0.149988    -18.894800     -0.000000      0.000000
     930  -11359.358698       0.101687     305.060485  -11054.298213       0.150199     -0.000000     -0.000000      0.000000      0.150199    -18.882800     -0.000000      0.000000
     940  -11361.605654       0.102436     307.307466  -11054.298187       0.150413     -0.000000     -0.000000      0.000000      0.150413    -18.870800     -0.000000      0.000000
     950  -11362.192854       0.102632     307.894719  -11054.298134       0.150628     -0.000000     -0.000000      0.000000      0.150629    -18.858800     -0.000000      0.000000
     960  -11361.182240       0.102295     306.884179  -11054.298061       0.150843     -0.000000     -0.000000      0.000000      0.150843    -18.846800     -0.000000      0.000000
     970  -11358.670313       0.101457     304.372344  -11054.297969       0.151056     -0.000000     -0.000000      0.000000      0.151056    -18.834800     -0.000000      0.000000
     980  -11354.783219       0.100162     300.485358  -11054.297861       0.151266     -0.000000     -0.000000      0.000000      0.151266    -18.822800     -0.000000      0.000000
     990  -11349.673809       0.098459     295.376069  -11054.297740       0.151471     -0.000000     -0.000000      0.000000      0.151471    -18.810800     -0.000000      0.000000
    1000  -11343.517376       0.096407     289.219766  -11054.297610       0.151671     -0.000000     -0.000000      0.000000      0.151671    -18.798800     -0.000000      0.000000
    1010  -11336.504565       0.094069     282.207088  -11054.297477       0.151863     -0.000000     -0.000000      0.000000      0.151863    -18.786800     -0.000000      0.000000
    1020  -11328.832163       0.091512     274.534815  -11054.297348       0.152048     -0.000000     -0.000000      0.000000      0.152048    -18.774800     -0.000000      0.000000
    1030  -11320.693805       0.088799     266.396580  -11054.297226       0.152223     -0.000000     -0.000000      0.000000      0.152223    -18.762800     -0.000000      0.000000
    1040  -11312.272963       0.085992     257.975850  -11054.297113       0.152389     -0.000000     -0.000000      0.000000      0.152389    -18.750800     -0.000000      0.000000
    1050  -11303.739954       0.083148     249.442946  -11054.297009       0.152544     -0.000000     -0.000000      0.000000      0.152544    -18.738800     -0.000000      0.000000
    1060  -11295.253291       0.080319     240.956381  -11054.296910       0.152687     -0.000000     -0.000000      0.000000      0.152687    -18.726800     -0.000000      0.000000
    1070  -11286.963742       0.077556     232.666928  -11054.296814       0.152818     -0.000000     -0.000000      0.000000      0.152818    -18.714800     -0.000000      0.000000
    1080  -11279.018246       0.074907     224.721525  -11054.296720       0.152937     -0.000000     -0.000000      0.000000      0.152937    -18.702800     -0.000000      0.000000
    1090  -11271.561109       0.072421     217.264479  -11054.296630       0.153043     -0.000000     -0.000000      0.000000      0.153043    -18.690800     -0.000000      0.000000
    1100  -11264.731608       0.070145     210.435060  -11054.296547       0.153135     -0.000000     -0.000000      0.000000      0.153135    -18.678800     -0.000000      0.000000
    1110  -11258.042741       0.068125     204.374919  -11053.667821       0.153213     -0.000000     -0.000000      0.000000      0.153213    -18.666800     -0.000000      0.000000
    1120  -11252.853642       0.066395     199.185883  -11053.667759       0.153277     -0.000000     -0.000000      0.000000      0.153277    -18.654800     -0.000000      0.000000
    1130  -11247.399460       0.064996     194.987513  -11052.411947       0.153326     -0.000000     -0.000000      0.000000      0.153326    -18.642800     -0.000000      0.000000
    1140  -11244.246493       0.063945     191.834585  -11052.411908       0.153361     -0.000000     -0.000000      0.000000      0.153361    -18.630800     -0.000000      0.000000
    1150  -11240.960072       0.063268     189.804005  -11051.156067       0.153382     -0.000000     -0.000000      0.000000      0.153382    -18.618800     -0.000000      0.000000
