#  Steps           Epot           Temp           Ekin           Etot        Coord0A       Coord1A       Coord2A       Coord0B       Coord1B       Coord2B
    1080  -12728.520782       0.060353     181.060402  -12547.460380      -0.000023     -0.000000      0.000005    -13.702777     -0.000000     -0.000005
    1090  -12728.827034       0.060456     181.366647  -12547.460386      -0.000027     -0.000000      0.000005    -13.690773     -0.000000     -0.000005
    1100  -12729.211402       0.060584     181.751004  -12547.460398      -0.000031     -0.000000      0.000006    -13.678769     -0.000000     -0.000006
    1110  -12729.660740       0.060733     182.200263  -12547.460478      -0.000036     -0.000000      0.000007    -13.666764      0.000000     -0.000007
    1120  -12730.161050       0.060900     182.700572  -12547.460477      -0.000041     -0.000000      0.000008    -13.654759      0.000000     -0.000008
    1130  -12730.698149       0.061079     183.237673  -12547.460476      -0.000047     -0.000000      0.000009    -13.642753      0.000000     -0.000009
    1140  -12731.258281       0.061266     183.797802  -12547.460479      -0.000053     -0.000000      0.000010    -13.630747      0.000000     -0.000010
    1150  -12731.825969       0.061455     184.365487  -12547.460483      -0.000060     -0.000000      0.000012    -13.618740      0.000000     -0.000012
    1160  -12732.384743       0.061641     184.924271  -12547.460472      -0.000067     -0.000000      0.000013    -13.606733      0.000000     -0.000013
    1170  -12732.917093       0.061819     185.456596  -12547.460497      -0.000076     -0.000000      0.000014    -13.594724      0.000000     -0.000014
    1180  -12733.407374       0.061982     185.946887  -12547.460487      -0.000085     -0.000000      0.000015    -13.582715      0.000000     -0.000015
    1190  -12733.843101       0.062128     186.382565  -12547.460536      -0.000095     -0.000000      0.000017    -13.570705      0.000000     -0.000017
    1200  -12734.211203       0.062250     186.750716  -12547.460488      -0.000107     -0.000000      0.000018    -13.558693      0.000000     -0.000018
    1210  -12734.502346       0.062347     187.041853  -12547.460492      -0.000120     -0.000000      0.000019    -13.546680      0.000000     -0.000019
    1220  -12734.709305       0.062416     187.248813  -12547.460492      -0.000134     -0.000000      0.000021    -13.534666      0.000000     -0.000021
    1230  -12734.827254       0.062456     187.366711  -12547.460543      -0.000150     -0.000000      0.000023    -13.522650      0.000000     -0.000022
    1240  -12734.854065       0.062465     187.393516  -12547.460549      -0.000167     -0.000000      0.000024    -13.510633      0.000000     -0.000024
    1250  -12734.787509       0.062442     187.326972  -12547.460537      -0.000186     -0.000000      0.000026    -13.498614      0.000000     -0.000026
    1260  -12734.629077       0.062390     187.168536  -12547.460541      -0.000207     -0.000000      0.000028    -13.486593      0.000000     -0.000028
    1270  -12734.383316       0.062308     186.922797  -12547.460519      -0.000230     -0.000000      0.000031    -13.474570      0.000000     -0.000031
    1280  -12734.058869       0.062199     186.598346  -12547.460522      -0.000255     -0.000000      0.000034    -13.462545      0.000000     -0.000034
