#  Steps           Epot           Temp           Ekin           Etot            RgA       Coord0A       Coord1A       Coord2A           RgB       Coord0B       Coord1B       Coord2B
     890   -9850.567621       5.502344   16507.032699    6656.465078       0.148299      0.159832      0.000201     -0.010739      0.148616     -9.467832     -0.000201      0.010739
     900   -9866.103257       5.507493   16522.478872    6656.375615       0.148584      0.175719      0.000177     -0.011218      0.148921     -9.363719     -0.000177      0.011218
     910   -9828.906626       5.493525   16480.576372    6651.669747       0.148909      0.192264      0.000154     -0.011741      0.149264     -9.260264     -0.000154      0.011741
     920   -9785.169853       5.478957   16436.870482    6651.700629       0.149269      0.209571      0.000128     -0.012329      0.149640     -9.157571     -0.000128      0.012329
     930   -9786.513574       5.480750   16442.249898    6655.736324       0.149658      0.227830      0.000097     -0.012998      0.150042     -9.055830     -0.000097      0.012998
     940   -9763.846499       5.473205   16419.615637    6655.769137       0.150071      0.247082      0.000065     -0.013723      0.150471     -8.955082     -0.000065      0.013723
     950   -9745.599317       5.467530   16402.589843    6656.990527       0.150509      0.267251      0.000030     -0.014447      0.150928     -8.855251     -0.000030      0.014447
     960   -9735.714237       5.464223   16392.668949    6656.954712       0.150973      0.288226     -0.000011     -0.015158      0.151415     -8.756226      0.000011      0.015158
     970   -9697.188572       5.453710   16361.130130    6663.941559       0.151462      0.309948     -0.000047     -0.015883      0.151933     -8.657948      0.000047      0.015883
     980   -9668.909650       5.444272   16332.816440    6663.906790       0.151976      0.332418     -0.000065     -0.016658      0.152481     -8.560418      0.000065      0.016658
     990   -9617.703689       5.430868   16292.605300    6674.901611       0.152514      0.355613     -0.000076     -0.017461      0.153057     -8.463613      0.000076      0.017461
    1000   -9580.371504       5.418424   16255.271682    6674.900178       0.153074      0.379598     -0.000087     -0.018278      0.153655     -8.367598      0.000087      0.018278
    1010   -9539.010141       5.410937   16232.809871    6693.799730       0.153652      0.404461     -0.000099     -0.019119      0.154272     -8.272461      0.000099      0.019119
    1020   -9479.994922       5.391292   16173.874868    6693.879946       0.154248      0.430132     -0.000113     -0.020028      0.154909     -8.178132      0.000113      0.020028
    1030   -9441.380567       5.385875   16157.626104    6716.245537       0.154862      0.456566     -0.000120     -0.021048      0.155565     -8.084566      0.000120      0.021048
    1040   -9438.798223       5.385026   16155.077568    6716.279345       0.155494      0.483787     -0.000114     -0.022149      0.156234     -7.991787      0.000114      0.022149
    1050   -9433.511609       5.390867   16172.602291    6739.090682       0.156143      0.511764     -0.000097     -0.023262      0.156916     -7.899764      0.000096      0.023262
    1060   -9431.069111       5.390060   16170.180378    6739.111267       0.156811      0.540338     -0.000058     -0.024356      0.157611     -7.808338      0.000058      0.024356
    1070   -9390.480129       5.384493   16153.478449    6762.998320       0.157498      0.569404      0.000002     -0.025436      0.158322     -7.717404     -0.000002      0.025436
    1080   -9325.059754       5.362698   16088.093562    6763.033808       0.158201      0.598940      0.000064     -0.026528      0.159048     -7.626940     -0.000064      0.026528
    1090   -9251.966086       5.343580   16030.740296    6778.774210       0.158919      0.628993      0.000112     -0.027659      0.159785     -7.536993     -0.000112      0.027659
    1100   -9243.480939       5.340726   16022.178968    6778.698030       0.159651      0.659642      0.000137     -0.028824      0.160530     -7.447642     -0.000137      0.028824
    1110   -9182.313024       5.325714   15977.140658    6794.827634       0.160393      0.690897      0.000121     -0.030012      0.161280     -7.358897     -0.000121      0.030012
    1120   -9083.035724       5.292644   15877.932439    6794.896715       0.161143      0.722756      0.000070     -0.031209      0.162035     -7.270756     -0.000070      0.031209
    1130   -9016.210335       5.274719   15824.158292    6807.947957       0.161902      0.755222      0.000022     -0.032368      0.162796     -7.183222     -0.000023      0.032368
    1140   -9012.678372       5.273535   15820.604876    6807.926504       0.162667      0.788295      0.000009     -0.033447      0.163562     -7.096295     -0.000009      0.033447
    1150   -8994.152968       5.274065   15822.195892    6828.042925       0.163440      0.821918      0.000023     -0.034482      0.164331     -7.009918     -0.000023      0.034482
    1160   -8948.367879       5.258806   15776.417718    6828.049840       0.164220      0.856026      0.000034     -0.035505      0.165104     -6.924026     -0.000034      0.035505
    1170   -8854.970722       5.233305   15699.914628    6844.943907       0.165006      0.890688      0.000032     -0.036505      0.165878     -6.838688     -0.000032      0.036505
    1180   -8794.774566       5.213245   15639.733800    6844.959234       0.165794      0.926007      0.000022     -0.037469      0.166651     -6.754007     -0.000022      0.037469
    1190   -8773.429246       5.209362   15628.084700    6854.655454       0.166583      0.961990     -0.000002     -0.038411      0.167424     -6.669990      0.000002      0.038411
    1200   -8757.454750       5.204037   15612.111370    6854.656620       0.167372      0.998551     -0.000059     -0.039362      0.168198     -6.586551      0.000059      0.039362
    1210   -8715.395957       5.195083   15585.249760    6869.853803       0.168164      1.035558     -0.000143     -0.040353      0.168975     -6.503558      0.000143      0.040353
    1220   -8696.888458       5.188912   15566.735974    6869.847516       0.168961      1.072876     -0.000234     -0.041405      0.169758     -6.420876      0.000234      0.041405
    1230   -8666.241292       5.183778   15551.335067    6885.093774       0.169764      1.110411     -0.000311     -0.042512      0.170547     -6.338411      0.000311      0.042512
    1240   -8611.226358       5.165442   15496.326994    6885.100636       0.170572      1.148123     -0.000369     -0.043659      0.171343     -6.256123      0.000369      0.043659
    1250   -8508.399857       5.138775   15416.325046    6907.925188       0.171386      1.186009     -0.000427     -0.044839      0.172146     -6.174009      0.000427      0.044839
    1260   -8448.085263       5.118675   15356.026385    6907.941122       0.172203      1.224099     -0.000498     -0.046058      0.172955     -6.092099      0.000498      0.046058
    1270   -8421.595544       5.114105   15342.313833    6920.718289       0.173024      1.262420     -0.000575     -0.047321      0.173770     -6.010420      0.000575      0.047321
    1280   -8409.439126       5.110052   15330.156902    6920.717775       0.173846      1.300964     -0.000640     -0.048623      0.174589     -5.928964      0.000640      0.048623
    1290   -8381.554733       5.103206   15309.617724    6928.062991       0.174671      1.339713     -0.000691     -0.049955      0.175413     -5.847713      0.000691      0.049955
    1300   -8331.875147       5.086652   15259.955368    6928.080222       0.175496      1.378663     -0.000741     -0.051316      0.176240     -5.766663      0.000741      0.051316
    1310   -8268.654927       5.068446   15205.336954    6936.682026       0.176322      1.417841     -0.000805     -0.052722      0.177070     -5.685841      0.000805      0.052722
    1320   -8226.061769       5.054248   15162.742902    6936.681133       0.177148      1.457271     -0.000900     -0.054182      0.177901     -5.605271      0.000900      0.054182
    1330   -8187.735876       5.045040   15135.119725    6947.383849       0.177974      1.496949     -0.001037     -0.055688      0.178733     -5.524949      0.001037      0.055688
    1340   -8148.664326       5.032016   15096.049104    6947.384778       0.178801      1.536826     -0.001204     -0.057220      0.179567     -5.444826      0.001204      0.057220
    1350   -8094.368962       5.017413   15052.237617    6957.868655       0.179628      1.576842     -0.001371     -0.058766      0.180403     -5.364842      0.001371      0.058766
    1360   -8055.685507       5.004517   15013.550103    6957.864596       0.180457      1.616972     -0.001520     -0.060326      0.181242     -5.284972      0.001520      0.060326
    1370   -8010.179101       4.993796   14981.387810    6971.208709       0.181287      1.657227     -0.001646     -0.061902      0.182083     -5.205227      0.001646      0.061902
    1380   -7971.069756       4.980761   14942.282856    6971.213100       0.182117      1.697626     -0.001749     -0.063493      0.182927     -5.125626      0.001749      0.063493
    1390   -7921.573832       4.968264   14904.792561    6983.218729       0.182946      1.738159     -0.001835     -0.065086      0.183772     -5.046159      0.001835      0.065086
    1400   -7880.947457       4.954724   14864.171451    6983.223994       0.183776      1.778794     -0.001908     -0.066659      0.184620     -4.966794      0.001908      0.066659
    1410   -7838.395604       4.943186   14829.557563    6991.161959       0.184606      1.819519     -0.001971     -0.068200      0.185472     -4.887520      0.001971      0.068200
    1420   -7798.353188       4.929840   14789.519908    6991.166719       0.185436      1.860336     -0.002026     -0.069717      0.186326     -4.808336      0.002026      0.069717
    1430   -7754.145230       4.917992   14753.975702    6999.830472       0.186264      1.901249     -0.002079     -0.071221      0.187182     -4.729249      0.002079      0.071221
    1440   -7719.344514       4.906393   14719.179847    6999.835333       0.187093      1.942262     -0.002127     -0.072721      0.188041     -4.650262      0.002127      0.072721
    1450   -7688.378978       4.898758   14696.274804    7007.895826       0.187922      1.983388     -0.002162     -0.074221      0.188901     -4.571388      0.002162      0.074221
    1460   -7667.191419       4.891693   14675.079409    7007.887990       0.188751      2.024630     -0.002187     -0.075716      0.189760     -4.492630      0.002187      0.075716
    1470   -7634.414953       4.883436   14650.307265    7015.892312       0.189582      2.065969     -0.002210     -0.077202      0.190617     -4.413969      0.002210      0.077202
    1480   -7609.535881       4.875143   14625.429242    7015.893361       0.190415      2.107382     -0.002241     -0.078685      0.191474     -4.335382      0.002241      0.078685
    1490   -7586.833546       4.869314   14607.941453    7021.107907       0.191250      2.148854     -0.002285     -0.080174      0.192330     -4.256854      0.002285      0.080174
    1500   -7562.627274       4.861245   14583.733818    7021.106543       0.192084      2.190372     -0.002350     -0.081663      0.193186     -4.178372      0.002350      0.081663
    1510   -7524.908446       4.851822   14555.467265    7030.558819       0.192919      2.231931     -0.002444     -0.083150      0.194042     -4.099931      0.002444      0.083150
    1520   -7494.400687       4.841655   14524.964225    7030.563538       0.193754      2.273534     -0.002567     -0.084644      0.194898     -4.021534      0.002567      0.084644
    1530   -7468.658015       4.834185   14502.556070    7033.898055       0.194588      2.315182     -0.002714     -0.086157      0.195755     -3.943182      0.002714      0.086157
    1540   -7445.727138       4.826542   14479.625429    7033.898292       0.195421      2.356874     -0.002878     -0.087699      0.196611     -3.864874      0.002878      0.087699
    1550   -7421.585285       4.819915   14459.746008    7038.160723       0.196255      2.398599     -0.003053     -0.089272      0.197468     -3.786599      0.003053      0.089272
    1560   -7401.159969       4.813108   14439.324009    7038.164040       0.197089      2.440346     -0.003232     -0.090871      0.198325     -3.708346      0.003231      0.090871
    1570   -7380.437049       4.808301   14424.904251    7044.467202       0.197922      2.482104     -0.003400     -0.092491      0.199181     -3.630104      0.003400      0.092491
    1580   -7355.896478       4.800121   14400.362943    7044.466465       0.198757      2.523873     -0.003540     -0.094132      0.200037     -3.551873      0.003540      0.094132
    1590   -7314.576853       4.789563   14368.687947    7054.111093       0.199591      2.565662     -0.003638     -0.095796      0.200893     -3.473662      0.003638      0.095796
    1600   -7281.456329       4.778525   14335.574650    7054.118321       0.200425      2.607485     -0.003692     -0.097487      0.201749     -3.395485      0.003692      0.097487
